problem_class,question,answer
"['Production Planning Problem', 'Capacitated Lot-sizing Problem (CLSP)']","A factory produces two types of food, I and II, and currently has 50 skilled workers. It is known that one skilled worker can produce $10 \ \mathrm{kg} / \ \mathrm{h}$ of food I or $6 \ \mathrm{kg} / \ \mathrm{h}$ of food II. According to contract bookings, the weekly demand for these two foods will rise sharply, as shown in Table 1-11. Therefore, the factory has decided to train 50 new workers by the end of the 8th week. It is known that a worker works $40 \ \mathrm{h}$ per week, and a skilled worker can train up to three new workers in two weeks (during the training period, both the skilled worker and the trainees do not participate in production). The weekly wage of a skilled worker is 360 yuan, the weekly wage of a trainee during the training period is 120 yuan, and after training, the wage is 240 yuan per week, with the same production efficiency as skilled workers. During the transition period of training, many skilled workers are willing to work overtime, and the factory has decided to arrange some workers to work $60 \ \mathrm{h}$ per week, with a weekly wage of 540 yuan. If the booked food cannot be delivered on time, the compensation fee for each week of delay per $ \ \mathrm{kg}$ is 0.5 yuan for food I and 0.6 yuan for food II. Under these conditions, how should the factory make comprehensive arrangements to minimize the total cost?

Table 1-11

| Week | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
|------|---|---|---|---|---|---|---|---|
| I    | 10000 | 10000  | 12000  | 12000  | 16000  | 16000  | 20000  | 20000  |
| II   | 6000 | 7200 | 8400 | 10800 | 10800 | 12000  | 12000  | 12000  |",219816.0
"['Capacitated Lot-sizing Problem (CLSP)', 'Lot-Sizing Problem', 'Production Planning Problem', 'Discrete Lot-sizing and Scheduling Problem', 'Operations Optimization']","Each year $t=1,\dots ,n$ two production lines deliver $a_1=10$ and $a_2=15$ new fighter jets (25 total). $n=10$. Decide how many of that year's 25 aircraft, $x_t$, enter combat immediately and how many, $y_t=25-x_t$, become training platforms. A training jet produces five newly qualified pilots who are available at the start of the next year; every combat jet must be matched with one trained pilot to be operational, and training jets can be reassigned to combat in later years. Starting with no aircraft or pilots, choose integer sequences $\{x_t,y_t\}_{t=1}^n$ to maximise the cumulative number of operational combat jet-years $\sum_{t=1}^{n} x_t$, subject to annual pilot-availability and fleet-balance constraints.",1350.0
"['Capacitated Lot-sizing Problem (CLSP)', 'Production Planning Problem']","A company specializing in foldable tables needs to create an optimal production and human resources plan for a six-month period (January to June) to maximize its total net profit. The plan must detail monthly in-house production levels, outsourcing quantities, and workforce management (hiring/firing).

**Initial Conditions (at the start of January):**
- Initial Workforce: 1,000 employees
- Initial Inventory: 15,000 units

**Revenue and Cost Structure:**
- **Sales Price:** 300 Yuan per unit sold.
- **Raw Material Cost:** 90 Yuan per unit, applicable *only* to units produced in-house.
- **Outsourcing Cost:** 200 Yuan per unit for finished tables acquired from a third-party supplier. This is an all-inclusive cost.
- **Inventory Holding Cost:** 15 Yuan per unit for any inventory held at the end of a month.
- **Backorder Cost:** 35 Yuan per unit for any unfulfilled demand (stockout) carried over to the next month.

**Labor and Production Parameters:**
- **Labor Requirement:** Each in-house unit requires 5 labor hours to produce.
- **Regular Labor:** Each worker provides 160 regular working hours per month (8 hours/day * 20 days/month). The company pays a regular wage of 30 Yuan/hour for these 160 hours, regardless of full utilization.
- **Overtime Labor:** Workers can perform overtime. Total overtime hours per month for the entire workforce cannot exceed 20 hours per worker. The overtime wage is 40 Yuan/hour.
- **Workforce Management:** The company can hire or fire workers each month. The cost to hire a new worker is 5,000 Yuan, and the cost to fire a worker is 8,000 Yuan.

**Demand and Fulfillment Logic:**
- Unfulfilled demand from one month is back-ordered and must be met in subsequent months.
- The company fulfills orders (both current demand and backorders) using available inventory from the previous month, current in-house production, and outsourced units.

**Terminal Condition (at the end of June):**
- The ending inventory must be at least 10,000 units.
- All backorders must be cleared (i.e., ending backorders must be zero).

**Forecasted Demand:**
| Month | January | February | March | April | May | June |
|:---:|:---:|:---:|:---:|:---:|:---:|:---:|
| Demand Forecast | 20,000 | 40,000 | 42,000 | 35,000 | 19,000 | 18,500 |

Based on this information, formulate the optimal six-month operational plan.",10349920.0
"['Farm Planning', 'Profit Maximization Problem']","A farmer needs to decide how many cows, sheep, and chickens to raise in order to achieve maximum profit. The farmer can sell cows, sheep, and chickens for $500, $200, and $8 each, respectively. The feed costs for each cow, sheep, and chicken are $100, $80, and $5, respectively. The profit is the difference between the selling price and the feed cost. Each cow, sheep, and chicken produces 10, 5, and 3 units of manure per day, respectively. Due to the limited time the farm staff has for cleaning the farm each day, they can handle up to 800 units of manure. Additionally, because of the limited farm size, the farmer can raise at most 50 chickens. Furthermore, the farmer must have at least 10 cows to meet customer demand. The farmer must also raise at least 20 sheep. Finally, the total number of animals cannot exceed 100.",30400.0
['Diet Problem'],"Mary is planning her dinner tonight. Every 100 grams of okra contains 3.2 grams of fiber, every 100 grams of carrots contains 2.7 grams of fiber, every 100 grams of celery contains 1.6 grams of fiber, and every 100 grams of cabbage contains 2 grams of fiber. How many grams of each type of food should Mary buy to maximize her fiber intake?

She is considering choosing one among salmon, beef, and pork as a protein source. For the chosen protein she must take at least one gram of it.

She also considers choosing at least two kinds of vegetables among okra, carrots, celery, and cabbage. For each of the selected vegetables, she must take at least one gram.

The price of salmon is $4 per 100 grams, beef is $3.6 per 100 grams, pork is $1.8 per 100 grams. The price of okra is $2.6 per 100 grams, carrots are $1.2 per 100 grams, celery is $1.6 per 100 grams, and cabbage is $2.3 per 100 grams. Mary has a budget of $15 for this meal.

The total food intake should be 600 grams.",18.95657143
['Capacitated Lot-sizing Problem (CLSP)'],"The contract reservations for the next year for products I, II, and III of a certain factory in each quarter are shown in Table 1-10.

Table 1-10
| Product | 1    | 2    | 3    | 4    |
|---------|------|------|------|------|
| I       | 1500 | 1000 | 2000 | 1200 |
| II      | 1500 | 1500 | 1200 | 1500 |
| III     | 1000 | 2000 | 1500 | 2500 |

At the beginning of the first quarter, there is no inventory for these three products, and it is required to have 150 units in stock for each product by the end of the fourth quarter. It is known that the factory has 15,000 production hours per quarter, and each unit of products I, II, and III requires 2, 4, and 3 hours respectively. Due to a change in equipment, product I cannot be produced in the second quarter. It is stipulated that if the products cannot be delivered on time, a compensation of 20 yuan per unit per quarter delay is required for products I and II, while for product III, the compensation is 10 yuan. Additionally, for products produced but not delivered in the current quarter, the inventory cost is 5 yuan per unit per quarter. How should the factory schedule production to minimize the total cost of compensation and inventory?",10755.0
['Transportation Problem'],"An Italian transportation company needs to move some empty containers from its 6 warehouses (located in Verona, Perugia, Rome, Pescara, Taranto, and Lamezia) to major national ports (Genoa, Venice, Ancona, Naples, Bari). The container inventory at the warehouses is as follows:

|  | Empty Containers |
|:---:|:---:|
| Verona | 10 |
| Perugia | 12 |
| Rome | 20 |
| Pescara | 24 |
| Taranto | 18 |
| Lamezia | 40 |

The demand at the ports is as follows:

|  | Container Demand |
|:---:|:---:|
| Genoa | 20 |
| Venice | 15 |
| Ancona | 25 |
| Naples | 33 |
| Bari | 21 |

The transport is carried out by a fleet of trucks. The cost to transport each container is proportional to the distance traveled by the trucks, with a rate of 30 euros per kilometer. Each truck can carry up to 2 containers. The distances are as follows:

|  | Genoa | Venice | Ancona | Naples | Bari |
|:---:|:---:|:---:|:---:|:---:|:---:|
| Verona | $290 \mathrm{~km}$ | $115 \mathrm{~km}$ | $355 \mathrm{~km}$ | $715 \mathrm{~km}$ | $810 \mathrm{~km}$ |
| Perugia | $380 \mathrm{~km}$ | $340 \mathrm{~km}$ | $165 \mathrm{~km}$ | $380 \mathrm{~km}$ | $610 \mathrm{~km}$ |
| Rome | $505 \mathrm{~km}$ | $530 \mathrm{~km}$ | $285 \mathrm{~km}$ | $220 \mathrm{~km}$ | $450 \mathrm{~km}$ |
| Pescara | $655 \mathrm{~km}$ | $450 \mathrm{~km}$ | $155 \mathrm{~km}$ | $240 \mathrm{~km}$ | $315 \mathrm{~km}$ |
| Taranto | $1010 \mathrm{~km}$ | $840 \mathrm{~km}$ | $550 \mathrm{~km}$ | $305 \mathrm{~km}$ | $95 \mathrm{~km}$ |
| Lamezia | $1072 \mathrm{~km}$ | $1097 \mathrm{~km}$ | $747 \mathrm{~km}$ | $372 \mathrm{~km}$ | $333 \mathrm{~km}$ |

Write a mathematical program to find the minimum cost transportation policy and solve it.",904590.0
['Assignment Problem'],"Now, we need to determine 4 out of 5 workers to complete one of the four tasks respectively. Due to each worker's different technical specialties, the time required for them to complete each task varies. The hours required by each worker to complete each task are shown in Table 5-2.

Table 5-2
| Worker | $A$ | $B$ | $C$ | $D$ |
|--------|-----|-----|-----|-----|
| I      | 9   | 4   | 3   | 7   |
| II     | 4   | 6   | 5   | 6   |
| III    | 5   | 4   | 7   | 5   |
| IV     | 7   | 5   | 2   | 3   |
| V      | 10  | 6   | 7   | 4   |

Try to find a job assignment plan that minimizes the total working hours.",14.0
"['Profit Maximization Problem', 'Production Planning Problem']","Haus Toys can manufacture and sell toy trucks, toy airplanes, toy boats, and toy trains. The profit for each truck sold is $5, each airplane $10, each boat $8, and each train $7. How many types of toys should Haus Toys manufacture to maximize profits?

There are 890 units of wood available. Each truck requires 12 units, each airplane 20 units, each boat 15 units, and each train 10 units.

There are 500 units of steel available. Each airplane requires 3 units, each boat 5 units, each train 4 units, and each truck 6 units.

If Haus Toys manufactures trucks, they will not manufacture trains.

However, if they manufacture boats, they will also manufacture airplanes.

The number of toy boats manufactured cannot exceed the number of toy trains manufactured.",623.0
['Set Cover'],"A convenience supermarket is planning to open several chain stores in a newly built residential area in the northwest suburb of the city. For shopping convenience, the distance from any residential area to one of the chain stores should not exceed $800 \mathrm{~m}$. Table 5-1 shows the new residential areas and the residential areas within a radius of $800 \mathrm{~m}$ from each of them. Question: What is the minimum number of chain stores the supermarket needs to build among the mentioned residential areas, and in which residential areas should they be built?

| Area Code | Residential Areas within $800 \mathrm{~m}$ Radius |
|-----------|---------------------------------------------------|
| A         | A, C, E, G, H, I                                  |
| B         | B, H, I                                           |
| C         | A, C, G, H, I                                     |
| D         | D, J                                              |
| E         | A, E, G                                           |
| F         | F, J, K                                           |
| G         | A, C, E, G                                        |
| H         | A, B, C, H, I                                     |
| I         | A, B, C, H, I                                     |
| J         | D, F, J, K, L                                     |
| K         | F, J, K, L                                        |
| L         | J, K, L                                           |",3.0
